"","Abbreviation","Title","FoR1","FoR.method","FoRCode","Category"
"1848","Langmuir","Langmuir: the ACS journal of surfaces and colloids","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"1849","Laryngoscope","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1850","Lasers Med Sci","Lasers in Medical Science","Biomedical Engineering ","Chosen.by.ERA","Engineering","Biomedical Engineering"
"1851","Learn Individ Differ","Learning and Individual Differences: journal of psychology and education ","Specialist Studies In Education","Chosen.by.ERA","Education","Education"
"1852","Learn Motiv","Learning and Motivation","Specialist Studies In Education","Chosen.by.ERA","Education","Education"
"1853","Leuk Lymphoma","Leukemia and Lymphoma","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1854","Leuk Res","Leukemia Research: clinical and laboratory studies","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1855","Leuk Res Rep","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1856","Leuk Res Treatment","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1857","Leukemia","Leukemia","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1858","Libyan J Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1859","Lipids","Lipids","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1860","Lipids Health Dis","Lipids in Health and Disease","Medical Biochemistry And Metabolomics","Chosen.by.ERA","Medical and health sciences","Biochemistry And Cell Biology"
"1861","Liver Int","Liver International","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1862","Local Reg Anesth","Local and Regional Anesthesia","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1863","Longev Healthspan","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1864","Lung","Lung: an international journal on lungs, airways and breathing","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1865","Lung India","Lung India","Cardiovascular Medicine And Haematology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1866","Lupus","Lupus","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1867","MAbs","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1868","MAGMA","","Multidisciplinary","Chosen.by.Luke","Multidisciplinary","Multidisciplinary"
"1869","Magn Reson Imaging","","Atomic, Molecular, Nuclear, Particle And Plasma Physics","Chosen.by.Luke","Biological sciences","Informatics, mathematics and physics"
"1870","Magn Reson Med","Magnetic Resonance Imaging","Biomedical Engineering ","Chosen.by.ERA","Engineering","Biomedical Engineering"
"1871","Malar J","Malaria Journal","Medical Microbiology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1872","Malar Res Treat","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1873","Mamm Genome","Mammalian Genome","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"1874","Man Ther","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1875","Mar Biol","Marine Biology: international journal on life in oceans and coastal waters","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1876","Mar Biotechnol (NY)","Marine Biotechnology","Environmental Sciences","Chosen.by.ERA","Environmental sciences","Ecology, evolution and earth sciences"
"1877","Mar Drugs","Marine Drugs","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1878","Mater Sociomed","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1879","Matern Child Health J","Maternal and Child Health Journal","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1880","Matern Child Nutr","Maternal and Child Nutrition","Nutrition And Dietetics","Chosen.by.ERA","Medical and health sciences","Nutrition And Dietetics"
"1881","Matrix Biol","Matrix Biology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1882","Maturitas","Maturitas","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1883","mBio","mBio","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"1884","Mech Ageing Dev","Mechanisms of Ageing and Development","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1885","Mech Dev","Mechanisms of Development","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1886","Med Biol Eng Comput","","Biomedical Engineering ","Chosen.by.Luke","Engineering","Biomedical Engineering"
"1887","Med Devices (Auckl)","Medical Devices: Evidence and Research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1888","Med Educ","Medical Education","Education","Chosen.by.ERA","Education","Education"
"1889","Med Educ Online","Medical Education Online: an electronic journal","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"1890","Med Gas Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1891","Med Image Anal","Medical Image Analysis","Engineering","Chosen.by.ERA","Engineering","Biomedical Engineering"
"1892","Med J Nutrition Metab","","Nutrition And Dietetics","Chosen.by.Luke","Medical and health sciences","Nutrition And Dietetics"
"1893","Med Microbiol Immunol","Medical Microbiology and Immunology","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"1894","Med Mycol","Medical Mycology","Medical Microbiology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1895","Med Oncol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1896","Med Oral Patol Oral Cir Bucal","Medicina Oral, Patologia Oral y Cirugia Bucal","Dentistry","Chosen.by.ERA","Medical and health sciences","Dentistry"
"1897","Med Sci Monit","Medical Science Monitor: international medical journal for clinical and experimental research","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1898","Med Sci Monit Basic Res","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1899","Mediators Inflamm","Mediators of Inflammation","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"1900","Mediterr J Hematol Infect Dis","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1901","Melanoma Res","Melanoma Research: an international journal of rapid communications of basic and clinical research in melanoma","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1902","Mem Cognit","Memory and Cognition","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"1903","Mem Inst Oswaldo Cruz","Memorias do Instituto Oswaldo Cruz, Rio de Janeiro","Medical Microbiology","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1904","Memory","Memory","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"1905","Metab Brain Dis","Metabolic Brain Disease","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1906","Metabolism","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1907","Metabolites","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"1908","Metabolomics","Metabolomics","Analytical Chemistry","Chosen.by.ERA","Chemical sciences","Chemistry and geology"
"1909","Microb Biotechnol","Microbial Biotechnology","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"1910","Microb Cell Fact","Microbial Cell Factories","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"1911","Microb Ecol","Microbial Ecology: an international journal","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"1912","Microb Ecol Health Dis","","Microbiology ","Chosen.by.Luke","Biological sciences","Microbiology"
"1913","Microbes Infect","Microbes and Infection: a journal on infectious agents and host defenses","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"1914","Microbiology","Microbiology","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"1915","Microbiologyopen","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1916","Microbiome","","Microbiology ","Chosen.by.Luke","Biological sciences","Microbiology"
"1917","Micron","Micron","Interdisciplinary Engineering","Chosen.by.ERA","Engineering","Biomedical Engineering"
"1918","Microvasc Res","Microvascular Research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1919","Middle East Afr J Ophthalmol","Middle East African Journal of Ophthalmology","Ophthalmology And Optometry","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1920","Mindfulness (N Y)","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1921","Minim Invasive Surg","Minimally Invasive Neurosurgery","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1922","Mitochondrion","Mitochondrion","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"1923","Mob DNA","Mobile DNA","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"1924","Mob Genet Elements","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1925","Mod Pathol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1926","Mod Rheumatol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1927","Mol Autism","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1928","Mol Biochem Parasitol","Molecular and Biochemical Parasitology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1929","Mol Biol Cell","Molecular Biology of the Cell","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1930","Mol Biol Evol","","Evolutionary Biology","Chosen.by.Luke","Biological sciences","Ecology, evolution and earth sciences"
"1931","Mol Biol Int","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1932","Mol Biol Rep","Molecular Biology Reports: an international journal on molecular and cellular biology","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"1933","Mol Biotechnol","Molecular Biotechnology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1934","Mol Brain","Molecular Brain","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1935","Mol Breed","Molecular Breeding: new strategies in plant improvement","Plant Biology","Chosen.by.ERA","Biological sciences","Plant Biology"
"1936","Mol Cancer","Molecular Cancer","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1937","Mol Cell","Molecular Cell","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1938","Mol Cell Biochem","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"1939","Mol Cell Endocrinol","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"1940","Mol Cell Neurosci","","Neurosciences","Chosen.by.Luke","Medical and health sciences","Neurosciences"
"1941","Mol Cell Proteomics","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"1942","Mol Cells","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"1943","Mol Clin Oncol","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1944","Mol Cytogenet","Molecular Cytogenetics","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"1945","Mol Diagn Ther","Molecular Diagnosis and Therapy","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1946","Mol Ecol","Molecular Ecology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1947","Mol Ecol Resour","Molecular Ecology Resources","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1948","Mol Genet Genomic Med","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"1949","Mol Genet Genomics","Molecular Genetics and Genomics: an international journal","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"1950","Mol Genet Metab","Molecular Genetics and Metabolism","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1951","Mol Hum Reprod","Molecular Human Reproduction","Paediatrics And Reproductive Medicine","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1952","Mol Imaging Biol","Molecular Imaging and Biology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1953","Mol Imaging Radionucl Ther","","Biomedical Engineering ","Chosen.by.Luke","Engineering","Biomedical Engineering"
"1954","Mol Immunol","Molecular Immunology","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"1955","Mol Med Rep","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1956","Mol Membr Biol","Molecular Membrane Biology","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"1957","Mol Metab","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"1958","Mol Microbiol","Molecular Microbiology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1959","Mol Neurobiol","Molecular Neurobiology","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"1960","Mol Neurodegener","Molecular Neurodegeneration","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1961","Mol Oncol","Molecular Oncology","Oncology And Carcinogenesis","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1962","Mol Pain","Molecular Pain","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"1963","Mol Pharm","Molecular Pharmacology","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1964","Mol Phylogenet Evol","Molecular Phylogenetics and Evolution","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"1965","Mol Plant","Molecular Plant","Plant Biology","Chosen.by.ERA","Biological sciences","Plant Biology"
"1966","Mol Psychiatry","Molecular Psychiatry","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1967","Mol Syst Biol","Molecular Systems Biology","Other Biological Sciences","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"1968","Mol Ther","Molecular Therapy","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1969","Mol Ther Nucleic Acids","","Biochemistry And Cell Biology","Chosen.by.Luke","Biological sciences","Biochemistry And Cell Biology"
"1970","Motiv Emot","Motivation and Emotion","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"1971","Mov Disord","Movement Disorders","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1972","Mucosal Immunol","Mucosal Immunology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1973","Mult Scler","Multiple Sclerosis","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1974","Mult Scler Int","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1975","Multidiscip Respir Med","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1976","Multivariate Behav Res","Multivariate Behavioral Research","Mathematical Sciences","Chosen.by.ERA","Mathematical sciences","Informatics, mathematics and physics"
"1977","Muscle Nerve","Muscle and Nerve","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1978","Musculoskeletal Care","Musculoskeletal Care","Nursing","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1979","Mutagenesis","Mutagenesis","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"1980","Mutat Res","Mutation Research: Fundamental and Molecular Mechanisms of Mutagenesis","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1981","Mycobiology","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1982","Mycology","","Biological Sciences","Chosen.by.Luke","Biological sciences","Biological Sciences"
"1983","Mycopathologia","Mycopathologia","Plant Biology","Chosen.by.ERA","Biological sciences","Plant Biology"
"1984","Mycorrhiza","Mycorrhiza","Microbiology ","Chosen.by.ERA","Biological sciences","Microbiology"
"1985","N Am J Med Sci","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"1986","Nanoscale Res Lett","Nanoscale Research Letters","Condensed Matter Physics","Chosen.by.ERA","Physical sciences","Informatics, mathematics and physics"
"1987","Nanotoxicology","Nanotoxicology","Nanotechnology","Chosen.by.ERA","Technology","Informatics, mathematics and physics"
"1988","Nat Biotechnol","Nature Biotechnology","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"1989","Nat Cell Biol","Nature Cell Biology","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1990","Nat Chem Biol","Nature Chemical Biology","Medicinal And Biomolecular Chemistry","Chosen.by.ERA","Chemical sciences","Biochemistry And Cell Biology"
"1991","Nat Commun","","Multidisciplinary","Chosen.by.Luke","Multidisciplinary","Multidisciplinary"
"1992","Nat Genet","Nature Genetics","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1993","Nat Immunol","Nature Immunology","Immunology","Chosen.by.ERA","Medical and health sciences","Immunology"
"1994","Nat Med","Nature Medicine","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1995","Nat Methods","Nature Methods","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"1996","Nat Neurosci","Nature Neuroscience","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"1997","Nat Sci Sleep","Nature and Science of Sleep","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1998","Nat Struct Mol Biol","Nature Structural and Molecular Biology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"1999","Natl J Maxillofac Surg","National Journal of Maxillofacial Surgery","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2000","Nature","Nature","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"2001","Naturwissenschaften","Naturwissenschaften","Multidisciplinary","Chosen.by.ERA","Multidisciplinary","Multidisciplinary"
"2002","Naunyn Schmiedebergs Arch Pharmacol","Naunyn-Schmiedebergs Archives of Pharmacology","Pharmacology And Pharmaceutical Sciences","Chosen.by.ERA","Medical and health sciences","Pharmacology And Pharmaceutical Sciences"
"2003","NDT Plus","NDT Plus","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2004","Neonatology","Neonatology: foetal and neonatal research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2005","Neotrop Entomol","Neotropical Entomology","Zoology","Chosen.by.ERA","Biological sciences","Zoology"
"2006","Nephrol Dial Transplant","Nephrology Dialysis Transplantation","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2007","Nephron Extra","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2008","Nephrourol Mon","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2009","Neth Heart J","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2010","Neural Dev","Neural Development","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"2011","Neural Develop","Neural Development","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"2012","Neural Plast","","Neurosciences","Chosen.by.Luke","Medical and health sciences","Neurosciences"
"2013","Neural Syst Circuits","","Neurosciences","Chosen.by.Luke","Medical and health sciences","Neurosciences"
"2014","Neuro Oncol","","Neurosciences","Chosen.by.Luke","Medical and health sciences","Neurosciences"
"2015","Neurobiol Aging","Neurobiology of Aging","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2016","Neurobiol Dis","Neurobiology of Disease","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2017","Neurobiol Learn Mem","Neurobiology of Learning and Memory","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2018","Neurocase","Neurocase","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2019","Neurochem Int","Neurochemistry International: the journal for the publication of cellular and molecular aspects of neurochemistry","Medical Biochemistry And Metabolomics","Chosen.by.ERA","Medical and health sciences","Biochemistry And Cell Biology"
"2020","Neurochem Res","Neurochemical Research","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2021","Neurodegener Dis","Neurodegenerative Diseases","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"2022","Neuroethics","Neuroethics","Cognitive Science","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"2023","Neurogastroenterol Motil","Neurogastroenterology and Motility","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2024","Neurogenetics","Neurogenetics","Genetics ","Chosen.by.ERA","Biological sciences","Genetics"
"2025","Neuroimage","Neuroimage","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2026","Neuroimage Clin","","Neurosciences","Chosen.by.Luke","Medical and health sciences","Neurosciences"
"2027","Neuroimmunomodulation","Neuroimmunomodulation","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2028","Neuroinformatics","NeuroInformatics","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"2029","Neurointervention","","Neurosciences","Chosen.by.Luke","Medical and health sciences","Neurosciences"
"2030","Neurol Int","","Neurosciences","Chosen.by.Luke","Medical and health sciences","Neurosciences"
"2031","Neurol Res Int","Neurological Research","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2032","Neurol Sci","Neurological Sciences","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2033","Neurology","Neurology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2034","Neuromolecular Med","NeuroMolecular Medicine","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"2035","Neuromuscul Disord","Neuromuscular Disorders","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2036","Neuron","Neuron","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"2037","Neuropathol Appl Neurobiol","Neuropathology and Applied Neurobiology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2038","Neuropharmacology","Neuropharmacology","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"2039","Neuropsychiatr Dis Treat","Neuropsychiatric Disease and Treatment","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2040","Neuropsychobiology","Neuropsychobiology: international journal of experimental and clinical research in biological psychiatry, pharmacopsychiatry, biological psychology, pharmacopsychology and pharmacoelectroencephalography","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2041","Neuropsychol Rehabil","Neuropsychological Rehabilitation","Psychology And Cognitive Sciences","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"2042","Neuropsychologia","Neuropsychologia","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"2043","Neuropsychology","Neuropsychology","Psychology","Chosen.by.ERA","Psychology and cognitive sciences","Psychology and sociology"
"2044","Neuropsychopharmacology","Neuropsychopharmacology","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2045","Neuroradiology","Neuroradiology: a journal devoted to neuroimaging and interventional neuroradiology","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2046","Neuroreport","Neuroreport","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"2047","Neurosci Biobehav Rev","Neuroscience and Behavioral Physiology","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"2048","Neurosci Lett","Neuroscience Letters","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"2049","Neuroscience","Neuroscience","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"2050","Neurosurg Rev","Neurosurgical Review","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2051","Neurotox Res","Neurotoxicity Research","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"2052","Neurotoxicology","NeuroToxicology","Neurosciences","Chosen.by.ERA","Medical and health sciences","Neurosciences"
"2053","New Phytol","New Phytologist","Biological Sciences","Chosen.by.ERA","Biological sciences","Biological Sciences"
"2054","Nicotine Tob Res","Nicotine and Tobacco Research","Public Health And Health Services","Chosen.by.ERA","Medical and health sciences","Public Health And Health Services"
"2055","Niger J Surg","","Medical And Health Sciences","Chosen.by.Luke","Medical and health sciences","Medical And Health Sciences"
"2056","Niger Med J","Nigerian Medical Journal","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2057","NMR Biomed","NMR in Biomedicine","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2058","Nonlinear Biomed Phys","","Multidisciplinary","Chosen.by.Luke","Multidisciplinary","Multidisciplinary"
"2059","Nord J Psychiatry","Nordic Journal of Psychiatry","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2060","Nucl Med Commun","Nuclear Medicine Communications","Clinical Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2061","Nucl Recept","Nuclear Receptor Signaling","Biochemistry And Cell Biology","Chosen.by.ERA","Biological sciences","Biochemistry And Cell Biology"
"2062","Nucleic Acids Res","Nucleic Acids Research","Environmental Sciences","Chosen.by.ERA","Environmental sciences","Ecology, evolution and earth sciences"
"2063","Nurs Res Pract","Nursing Research","Nursing","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2064","Nutr Diabetes","","Nutrition And Dietetics","Chosen.by.Luke","Medical and health sciences","Nutrition And Dietetics"
"2065","Nutr J","Nutrition Journal","Nutrition And Dietetics","Chosen.by.ERA","Medical and health sciences","Nutrition And Dietetics"
"2066","Nutr Metab (Lond)","Nutrition and Metabolism","Physiology ","Chosen.by.ERA","Biological sciences","Physiology"
"2067","Nutr Metab Cardiovasc Dis","Nutrition Metabolism and Cardiovascular Diseases","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2068","Nutr Metab Insights","","Nutrition And Dietetics","Chosen.by.Luke","Medical and health sciences","Nutrition And Dietetics"
"2069","Nutr Neurosci","Nutritional Neuroscience","Medical And Health Sciences","Chosen.by.ERA","Medical and health sciences","Medical And Health Sciences"
"2070","Nutr Res Pract","","Nutrition And Dietetics","Chosen.by.Luke","Medical and health sciences","Nutrition And Dietetics"
